202010001,María,González Ríos,45283917,28,987654321,1
202010002,Juan,Pérez Castillo,71902846,34,912345678,0
202010003,Lucía,Fernández Soto,38274916,22,945678912,1
202010004,Carlos,Ramírez Vega,60918374,45,923456789,0
202010005,Ana,Torres Medina,52817463,19,956789123,0
202010006,José,Quispe Mamani,47391028,53,934567891,0
202010007,Valentina,Chávez Rojas,81264937,25,967891234,0
202010008,Miguel,Salazar Paredes,39572618,60,978912345,0
202010009,Diego,Huamán Flores,28471936,37,989123456,0
202010010,Patricia,Vega Ibáñez,30184756,49,937162548,0
202010011,Fernando,Ortega Campos,49281736,58,937162548,0
202010012,Daniela,Rojas Espinoza,86317452,23,916543287,0
202010013,Luis,Cárdenas Aguilar,51902438,30,998765432,0
